Node,Riv_km     
J_GCD_face_up,-25.4
J_GCD_face_down,-25.2
J_-24.5,-24.5
J_-23.5,-23.5
J_-22.5,-22.5
J_-21.5,-21.5
J_-20.5,-20.5
J_-19.5,-19.5
J_-18.5,-18.5
J_-17.5,-17.5
J_-16.5,-16.5
J_-15.5,-15.5
J_-14.5,-14.5
J_-13.5,-13.5
J_-12.5,-12.5
J_-11.5,-11.5
J_-10.5,-10.5
J_-9.5,-9.5
J_-8.5,-8.5
J_-7.5,-7.5
J_-6.5,-6.5
J_-5.5,-5.5
J_-4.5,-4.5
J_-3.5,-3.5
J_-2.5,-2.5
J_-1.5,-1.5
J_-0.5,-0.5
J_LF_up,-0.1
J_LF_down,0.1
J_1,1
J_Paria_trib,1.5
J_2,2
J_3,3
J_4,4
J_5,5
J_6,6
J_7,7
J_8,8
J_9,9
J_10,10
J_11,11
J_12,12
J_13,13
J_14,14
J_15,15
J_16,16
J_17,17
J_18,18
J_19,19
J_20,20
J_21,21
J_22,22
J_23,23
J_24,24
J_25,25
J_26,26
J_27,27
J_28,28
J_29,29
J_30,30
J_31,31
J_32,32
J_33,33
J_34,34
J_35,35
J_36,36
J_37,37
J_38,38
J_39,39
J_40,40
J_41,41
J_42,42
J_43,43
J_44,44
J_45,45
J_46,46
J_47,47
J_48,48
J_RM30_up,48.4
J_RM30_down,48.7
J_50,50
J_51,51
J_52,52
J_53,53
J_RM33_up,54.2
J_RM33_down,54.5
J_55,55
J_56,56
J_57,57
J_58,58
J_59,59
J_60,60
J_61,61
J_62,62
J_63,63
J_64,64
J_65,65
J_66,66
J_67,67
J_68,68
J_69,69
J_70,70
J_71,71
J_72,72
J_73,73
J_74,74
J_75,75
J_76,76
J_77,77
J_78,78
J_79,79
J_80,80
J_81,81
J_82,82
J_83,83
J_84,84
J_Nankoweap_trib,84.5
J_85,85
J_86,86
J_87,87
J_88,88
J_89,89
J_90,90
J_91,91
J_92,92
J_93,93
J_94,94
J_95,95
J_96,96
J_97,97
J_RM60_up,97.8
J_RM60_down,98.1
J_99,99
J_LittleCO_trib,99.2
J_100,100
J_101,101
J_102,102
J_103,103
J_104,104
J_105,105
J_RM66_up,105.5
J_RM66_down,105.8
J_107,107
J_108,108
J_109,109
J_110,110
J_111,111
J_112,112
J_113,113
J_114,114
J_115,115
J_116,116
J_117,117
J_118,118
J_119,119
J_120,120
J_121,121
J_122,122
J_123,123
J_RM76_up,123.5
J_RM76_down,123.8
J_125,125
J_126,126
J_127,127
J_128,128
J_129,129
J_130,130
J_131,131
J_132,132
J_133,133
J_134,134
J_135,135
J_Clear_trib,136.1
J_137,137
J_138,138
J_139,139
J_140,140
J_RM88_up,141
J_RM88_down,141.3
J_Bright_trib,141.8
J_143,143
J_Pipe_trib,143.7
J_145,145
J_146,146
J_147,147
J_148,148
J_149,149
J_150,150
J_Monument_trib,150.9
J_152,152
J_Hermit_trib,153.4
J_154,154
J_155,155
J_156,156
J_157,157
J_158,158
J_Crystal_trib,158.8
J_160,160
J_161,161
J_162,162
J_163,163
J_164,164
J_165,165
J_166,166
J_167,167
J_168,168
J_169,169
J_170,170
J_171,171
J_172,172
J_173,173
J_174,174
J_175,175
J_Shimuno_trib,175.6
J_176,176
J_177,177
J_178,178
J_179,179
J_180,180
J_181,181
J_182,182
J_183,183
J_184,184
J_185,185
J_186,186
J_187,187
J_RoyalArch_trib,188.3
J_189,189
J_190,190
J_191,191
J_192,192
J_193,193
J_194,194
J_195,195
J_196,196
J_197,197
J_198,198
J_199,199
J_200,200
J_201,201
J_202,202
J_203,203
J_204,204
J_RM127_up,205
J_RM127_down,205.2
J_206,206
J_207,207
J_208,208
J_209,209
J_210,210
J_211,211
J_212,212
J_Stone_trib,212.9
J_RM132_up,214
J_RM132_down,214.2
J_215,215
J_Tapeats_trib,216
J_217,217
J_218,218
J_219,219
J_Dear_trib,220.1
J_221,221
J_222,222
J_223,223
J_224,224
J_225,225
J_226,226
J_227,227
J_228,228
J_229,229
J_230,230
J_231,231
J_Kanab_trib,231.6
J_232,232
J_233,233
J_234,234
J_235,235
J_236,236
J_237,237
J_238,238
J_Matkatamiba_trib,238.6
J_239.5,239.5
J_RM149_up,240.1
J_RM149_down,240.4
J_241,241
J_242,242
J_243,243
J_244,244
J_245,245
J_246,246
J_247,247
J_248,248
J_249,249
J_250,250
J_251,251
J_252,252
J_Havasu_trib,252.9
J_254,254
J_255,255
J_256,256
J_257,257
J_258,258
J_259,259
J_260,260
J_261,261
J_262,262
J_263,263
J_264,264
J_265,265
J_266,266
J_267,267
J_RM167_up,268
J_RM167_down,268.3
J_269,269
J_270,270
J_271,271
J_272,272
J_273,273
J_274,274
J_275,275
J_276,276
J_277,277
J_278,278
J_279,279
J_280,280
J_281,281
J_282,282
J_283,283
J_284,284
J_285,285
J_286,286
J_287,287
J_288,288
J_289,289
J_290,290
J_291,291
J_292,292
J_293,293
J_294,294
J_295,295
J_296,296
J_297,297
J_298,298
J_299,299
J_300,300
J_301,301
J_302,302
J_303,303
J_304,304
J_305,305
J_306,306
J_307,307
J_308,308
J_309,309
J_310,310
J_311,311
J_312,312
J_RM194_up,312.5
J_RM194_down,312.8
J_314,314
J_315,315
J_316,316
J_317,317
J_318,318
J_319,319
J_320,320
J_321,321
J_322,322
J_323,323
J_324,324
J_325,325
J_326,326
J_327,327
J_328,328
J_SpringCanyon_trib,329
J_330,330
J_331,331
J_332,332
J_333,333
J_334,334
J_335,335
J_336,336
J_337,337
J_338,338
J_339,339
J_340,340
J_341,341
J_342,342
J_343,343
J_344,344
J_345,345
J_346,346
J_347,347
J_348,348
J_349,349
J_350,350
J_351,351
J_352,352
J_353,353
J_354,354
J_355,355
J_356,356
J_357,357
J_358,358
J_359,359
J_360,360
J_361,361
J_RM225_up,361.9
J_RM225_down,362.1
J_Diamond_trib,363.3
J_364,364
J_365,365
J_366,366
J_367,367
J_368,368
J_Travertine_trib,368.7
J_370,370
J_371,371
J_372,372
J_373,373
J_374,374
J_375,375
J_376,376
J_377,377
J_378,378
J_379,379
J_380,380
J_381,381
J_382,382
J_383,383
J_384,384
J_385,385
J_386,386
J_387,387
J_388,388
J_389,389
J_390,390
J_391,391
J_392,392
J_393,393
J_394,394
J_395,395
J_RM246_up,395.9
J_RM246_down,396.2
J_Spencer_trib,396.2
