Junction,Easting,Northing,Elevation,RiverKM
J_GCD_face_up,456942.67300,4087882.34400,927.00000,-25.4
J_GCD_face_down,457013.59400,4087695.61200,925.39933,-25.2
J_-24.5,457277.59000,4087047.52400,926.57082,-24.5
J_-23.5,456772.66900,4086272.41800,925.87937,-23.5
J_-22.5,455958.96400,4085817.32400,924.99214,-22.5
J_-21.5,455430.71400,4085250.97700,925.96757,-21.5
J_-20.5,455367.60800,4084293.93300,924.70920,-20.5
J_-19.5,454497.56800,4084066.69000,925.70390,-19.5
J_-18.5,453517.27700,4083987.68200,923.46558,-18.5
J_-17.5,453263.50000,4083073.85200,922.67362,-17.5
J_-16.5,452874.42900,4082327.18200,923.92217,-16.5
J_-15.5,453798.06000,4082159.03900,923.86766,-15.5
J_-14.5,453980.83200,4081450.28000,924.63704,-14.5
J_-13.5,453049.79000,4081517.49000,923.19738,-13.5
J_-12.5,452081.40100,4081597.21600,915.44749,-12.5
J_-11.5,451171.15700,4081215.22500,917.84302,-11.5
J_-10.5,450299.67300,4081043.88200,916.47121,-10.5
J_-9.5,449510.88600,4080801.13800,921.62913,-9.5
J_-8.5,450000.32600,4079971.77400,921.72437,-8.5
J_-7.5,450640.42500,4079218.11200,923.37849,-7.5
J_-6.5,451370.55000,4078534.98500,922.76376,-6.5
J_-5.5,451280.56400,4077719.01500,923.05113,-5.5
J_-4.5,450334.23500,4077724.48000,919.71395,-4.5
J_-3.5,449368.05800,4077585.95100,920.03195,-3.5
J_-2.5,448841.61800,4078354.55400,912.76027,-2.5
J_-1.5,448518.30000,4079291.69400,916.32568,-1.5
J_-0.5,448103.82600,4080060.78100,919.82690,-0.5
J_LF_up,447712.86913,4080060.95430,921.69000,-0.1
J_LF_down,447518.52263,4080013.33823,920.69000,0.1
J_1,446808.34881,4079484.14085,919.18000,1
J_Paria_trib,446382.66028,4079239.42218,918.18000,1.5
J_2,446081.05627,4078841.95453,916.63000,2
J_3,445292.46483,4078362.19024,916.14000,3
J_4,444939.51349,4077523.56366,915.92000,4
J_5,444809.66898,4076598.08245,914.02000,5
J_6,444118.79057,4075898.13666,913.60000,6
J_7,443777.77343,4074967.40184,913.48000,7
J_8,443405.17430,4074046.87441,913.42000,8
J_9,442671.82099,4073392.80856,913.37000,9
J_10,442640.02937,4072458.93687,913.01000,10
J_11,442379.92959,4071503.30796,912.93000,11
J_12,442013.00038,4070580.58360,912.83000,12
J_13,441422.49868,4069811.38786,908.51000,13
J_14,440900.48524,4068958.55555,906.16000,14
J_15,440615.06040,4068023.12346,905.61000,15
J_16,439785.99033,4067533.03941,905.46000,16
J_17,438923.89108,4067044.37954,905.29000,17
J_18,438171.64674,4066389.71445,904.85000,18
J_19,438020.24809,4065432.31936,898.99000,19
J_20,437468.45016,4064716.35795,896.34000,20
J_21,436761.14756,4064106.96848,894.86000,21
J_22,436689.32700,4063114.61842,894.41000,22
J_23,436447.95990,4062147.93283,894.12000,23
J_24,436052.85920,4061262.27481,891.36000,24
J_25,435135.49615,4060878.67694,891.03000,25
J_26,434309.31337,4060325.85258,890.89000,26
J_27,433888.75273,4059457.12605,890.51000,27
J_28,433807.14214,4058481.51534,886.43000,28
J_29,433666.09610,4057496.38176,885.20000,29
J_30,433057.85895,4056748.95987,883.74000,30
J_31,432187.84510,4056282.09509,883.58000,31
J_32,431887.46472,4055411.40484,883.33000,32
J_33,431832.50316,4054434.49238,883.06000,33
J_34,431763.04483,4053479.88386,879.29000,34
J_35,432199.57294,4052616.67289,876.05000,35
